Category,Item,Consumer Units,Single No earner,Single One earner,Two + No earner,Two + One earner,Two + Two earners,"2 + Three or
more
earners",,,,"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013"
Transportation,Vehicle purchases (net outlay) Mean,"3,271",920,"2,101","2,476","3,090","4,393","6,665",,,,
Transportation,Vehicle purchases (net outlay) Share,6.4,3.7,5.8,6.2,5.9,6.7,8.6,,,,
Transportation,Vehicle purchases (net outlay) SE,120.76,168.28,235.99,364.54,240.93,251.19,792.25,,,,
Transportation,Vehicle purchases (net outlay) CV(%),3.69,18.29,11.23,14.72,7.8,5.72,11.89,,,,
Transportation,"Cars and trucks, new Mean","1,563",483,873,"1,550","1,440","2,011","3,368",,,,
Transportation,"Cars and trucks, new Share",3.1,2,2.4,3.9,2.7,3.1,4.3,,,,
Transportation,"Cars and trucks, new SE",88.12,121.25,167.16,285.27,171.84,192.3,558.21,,,,
Transportation,"Cars and trucks, new CV(%)",5.64,25.12,19.15,18.41,11.93,9.56,16.57,,,,
Transportation,"Cars and trucks, used Mean","1,669",429,"1,163",908,"1,636","2,326","3,243",,,,
Transportation,"Cars and trucks, used Share",3.3,1.7,3.2,2.3,3.1,3.5,4.2,,,,
Transportation,"Cars and trucks, used SE",76.12,110.18,162.85,170.96,155.18,170.17,473.03,,,,
Transportation,"Cars and trucks, used CV(%)",4.56,25.68,14,18.82,9.49,7.32,14.59,,,,
Transportation,Other vehicles Mean,39,8,65,18,14,56,54,,,,
Transportation,Other vehicles Share,0.1,a/,0.2,a/,a/,0.1,0.1,,,,
Transportation,Other vehicles SE,9.05,6.06,28.57,15.32,10.86,20.07,28.9,,,,
Transportation,Other vehicles CV(%),23.46,73.55,44.17,84.05,78.97,35.78,53.72,,,,
Transportation,Gasoline and motor oil Mean,"2,611",915,"1,721","1,898","2,740","3,473","4,470",,,,
Transportation,Gasoline and motor oil Share,5.1,3.7,4.7,4.8,5.2,5.3,5.7,,,,
Transportation,Gasoline and motor oil SE,25.07,32.88,36.46,44.56,42.7,33.85,101.73,,,,
Transportation,Gasoline and motor oil CV(%),0.96,3.59,2.12,2.35,1.56,0.97,2.28,,,,
Transportation,Other vehicle expenses Mean,"2,584","1,481","1,821","2,039","2,639","3,204","4,179",,,,
Transportation,Other vehicle expenses Share,5.1,6,5,5.1,5,4.9,5.4,,,,
Transportation,Other vehicle expenses SE,47.94,150.79,91.04,172.32,116.85,87.31,336.01,,,,
Transportation,Other vehicle expenses CV(%),1.86,10.18,5,8.45,4.43,2.72,8.04,,,,
Transportation,Vehicle finance charges Mean,204,32,127,98,202,313,353,,,,
Transportation,Vehicle finance charges Share,0.4,0.1,0.3,0.2,0.4,0.5,0.5,,,,
Transportation,Vehicle finance charges SE,5.39,5.04,7.02,10.7,9.22,9.88,25.06,,,,
Transportation,Vehicle finance charges CV(%),2.65,15.53,5.53,10.95,4.56,3.15,7.09,,,,
Transportation,Maintenance and repairs Mean,835,351,665,638,807,"1,076","1,375",,,,
Transportation,Maintenance and repairs Share,1.6,1.4,1.8,1.6,1.5,1.6,1.8,,,,
Transportation,Maintenance and repairs SE,18.9,21.7,40.09,61.83,43.2,30.58,75.46,,,,
Transportation,Maintenance and repairs CV(%),2.26,6.18,6.03,9.69,5.35,2.84,5.49,,,,
Transportation,Vehicle insurance Mean,"1,013",910,614,905,"1,032","1,130","1,700",,,,
Transportation,Vehicle insurance Share,2,3.7,1.7,2.3,2,1.7,2.2,,,,
Transportation,Vehicle insurance SE,42.15,143.4,58.93,152.06,104.16,75.1,307.58,,,,
Transportation,Vehicle insurance CV(%),4.16,15.75,9.6,16.8,10.09,6.65,18.09,,,,
Transportation,"Vehicle rental, leases, licenses, and other charges Mean",533,187,415,398,598,685,751,,,,
Transportation,"Vehicle rental, leases, licenses, and other charges Share",1,0.8,1.1,1,1.1,1,1,,,,
Transportation,"Vehicle rental, leases, licenses, and other charges SE",22.75,40.01,43.97,37.92,49.96,47.31,62.69,,,,
Transportation,"Vehicle rental, leases, licenses, and other charges CV(%)",4.27,21.42,10.6,9.52,8.35,6.91,8.35,,,,
Transportation,Public and other transportation Mean,537,185,408,497,531,714,756,,,,
Transportation,Public and other transportation Share,1.1,0.8,1.1,1.2,1,1.1,1,,,,
Transportation,Public and other transportation SE,16.11,18.63,26.44,56.19,37.83,43.41,69.14,,,,
Transportation,Public and other transportation CV(%),3,10.09,6.48,11.31,7.12,6.08,9.15,,,,
Healthcare,Healthcare Mean,"3,631","2,944","1,944","4,986","3,825","4,005","4,656",,,,
Healthcare,Healthcare Share,7.1,12,5.3,12.5,7.3,6.1,6,,,,
Healthcare,Healthcare SE,53.45,158.89,67.65,175.16,139.52,72.61,179.87,,,,
Healthcare,Healthcare CV(%),1.47,5.4,3.48,3.51,3.65,1.81,3.86,,,,
Healthcare,Health insurance Mean,"2,229","1,790","1,144","3,284","2,376","2,444","2,709",,,,
Healthcare,Health insurance Share,4.4,7.3,3.1,8.2,4.5,3.7,3.5,,,,
Healthcare,Health insurance SE,35.47,62.02,50.02,106.07,91.81,54.15,99.28,,,,
Healthcare,Health insurance CV(%),1.59,3.46,4.37,3.23,3.86,2.22,3.67,,,,
Healthcare,Medical services Mean,796,612,454,734,814,949,"1,264",,,,
Healthcare,Medical services Share,1.6,2.5,1.3,1.8,1.5,1.4,1.6,,,,
Healthcare,Medical services SE,29.61,119.68,38.17,53.83,68.7,48.91,104.19,,,,
Healthcare,Medical services CV(%),3.72,19.54,8.4,7.33,8.44,5.15,8.25,,,,
Healthcare,Drugs Mean,470,450,264,785,477,470,509,,,,
Healthcare,Drugs Share,0.9,1.8,0.7,2,0.9,0.7,0.7,,,,
Healthcare,Drugs SE,9.51,21.8,17.33,42.49,23.41,17.23,29.16,,,,
Healthcare,Drugs CV(%),2.02,4.84,6.57,5.41,4.91,3.66,5.73,,,,
Healthcare,Medical supplies Mean,135,91,82,183,158,141,175,,,,
Healthcare,Medical supplies Share,0.3,0.4,0.2,0.5,0.3,0.2,0.2,,,,
Healthcare,Medical supplies SE,5.68,13.19,8.25,27.45,17.24,6.31,15.25,,,,
Healthcare,Medical supplies  CV(%),4.19,14.48,10.12,15.02,10.88,4.47,8.73,,,,
Entertainment,Entertainment Mean,"2,482","1,234","1,789","1,760","2,551","3,296","3,546",,,,
Entertainment,Entertainment Share,4.9,5,4.9,4.4,4.8,5,4.6,,,,
Entertainment,Entertainment SE,49.14,73.72,106.44,71.85,87.15,105.36,242.6,,,,
Entertainment,Entertainment CV(%),1.98,5.98,5.95,4.08,3.42,3.2,6.84,,,,
Entertainment,Fees and admissions Mean,569,161,384,367,563,829,889,,,,
Entertainment,Fees and admissions Share,1.1,0.7,1.1,0.9,1.1,1.3,1.1,,,,
Entertainment,Fees and admissions SE,20.81,22.35,24.08,47.06,37.44,44.25,89.46,,,,
Entertainment,Fees and admissions CV(%),3.66,13.9,6.27,12.82,6.65,5.34,10.06,,,,
Entertainment,Audio and visual equipment and services Mean,964,665,733,810,"1,006","1,161","1,253",,,,
Entertainment,Audio and visual equipment and services Share,1.9,2.7,2,2,1.9,1.8,1.6,,,,
Entertainment,Audio and visual equipment and services SE,14.56,22.62,41.61,19.5,32.08,29.2,48.83,,,,
Entertainment,Audio and visual equipment and services CV(%),1.51,3.4,5.67,2.41,3.19,2.51,3.9,,,,
Entertainment,"Pets, toys, hobbies, and playground equipment Mean",596,316,523,408,625,756,733,,,,
Entertainment,"Pets, toys, hobbies, and playground equipment Share",1.2,1.3,1.4,1,1.2,1.1,0.9,,,,
Entertainment,"Pets, toys, hobbies, and playground equipment SE",26.42,47.77,91.56,37.11,30.18,39.94,92.93,,,,
Entertainment,"Pets, toys, hobbies, and playground equipment CV(%)",4.43,15.09,17.52,9.1,4.83,5.28,12.69,,,,
Entertainment,Pets Mean,460,236,450,318,465,568,590,,,,
Entertainment,Pets Share,0.9,1,1.2,0.8,0.9,0.9,0.8,,,,
Entertainment,Pets SE,22.29,34.25,86.07,30.11,28.07,26.94,78.08,,,,
Entertainment,Pets CV(%),4.85,14.5,19.15,9.46,6.03,4.74,13.24,,,,
Entertainment,"Toys, hobbies, and playground equipment Mean",136,80,73,89,159,188,143,,,,
Entertainment,"Toys, hobbies, and playground equipment Share",0.3,0.3,0.2,0.2,0.3,0.3,0.2,,,,
Entertainment,"Toys, hobbies, and playground equipment SE",11.52,34.17,20.71,22.63,14.83,21.94,37.68,,,,
Entertainment,"Toys, hobbies, and playground equipment CV(%)",8.45,42.57,28.34,25.3,9.31,11.69,26.37,,,,
Entertainment,"Other entertainment supplies, equipment, and services Mean",353,92,149,175,357,550,672,,,,
Entertainment,"Other entertainment supplies, equipment, and services Share",0.7,0.4,0.4,0.4,0.7,0.8,0.9,,,,
Entertainment,"Other entertainment supplies, equipment, and services SE",23.56,29.8,28.88,39.71,64.34,71.96,147.29,,,,
Entertainment,"Other entertainment supplies, equipment, and services CV(%)",6.67,32.53,19.39,22.65,18.03,13.09,21.92,,,,
Personal care products and services,Personal care products and services Mean,608,314,395,539,657,776,825,,,,
Personal care products and services,Personal care products and services Share,1.2,1.3,1.1,1.3,1.2,1.2,1.1,,,,
Personal care products and services,Personal care products and services SE,14.94,18.98,18.43,32.1,30.75,28.24,42.63,,,,
Personal care products and services,Personal care products and services CV(%),2.46,6.05,4.66,5.96,4.68,3.64,5.17,,,,
Reading,Reading Mean,102,72,75,127,107,115,120,,,,
Reading,Reading Share,0.2,0.3,0.2,0.3,0.2,0.2,0.2,,,,
Reading,Reading SE,2.63,5.95,5.25,11.85,5.82,3.82,8.74,,,,
Reading,Reading CV(%),2.57,8.23,7.02,9.35,5.43,3.34,7.27,,,,
Education,Education Mean,"1,138",502,749,706,"1,121","1,393","2,573",,,,
Education,Education Share,2.2,2,2.1,1.8,2.1,2.1,3.3,,,,
Education,Education SE,45.8,91.03,74.71,264.59,82.35,102.22,255.4,,,,
Education,Education CV(%),4.03,18.12,9.98,37.45,7.35,7.34,9.93,,,,
Tobacco,Tobacco products and smoking supplies Mean,330,229,256,308,336,373,490,,,,
Tobacco,Tobacco products and smoking supplies Share,0.6,0.9,0.7,0.8,0.6,0.6,0.6,,,,
Tobacco,Tobacco products and smoking supplies SE,11.94,19.4,16.76,37.65,18.13,17.58,46.27,,,,
Tobacco,Tobacco products and smoking supplies CV(%),3.62,8.47,6.55,12.22,5.39,4.71,9.44,,,,
Miscellaneous,Miscellaneous Mean,645,416,580,501,590,779,961,,,,
Miscellaneous,Miscellaneous Share,1.3,1.7,1.6,1.3,1.1,1.2,1.2,,,,
Miscellaneous,Miscellaneous SE,32.72,51.1,59.63,74.93,53.58,47.41,147.83,,,,
Miscellaneous,Miscellaneous CV(%),5.08,12.29,10.29,14.96,9.09,6.08,15.39,,,,
Cash,Cash contributions Mean,"1,834","1,307","1,438","2,419","1,762","2,061","2,097",,,,
Cash,Cash contributions Share,3.6,5.3,4,6.1,3.3,3.1,2.7,,,,
Cash,Cash contributions SE,97.1,176.97,103.31,341.64,142.48,162.9,166.98,,,,
Cash,Cash contributions CV(%),5.29,13.54,7.18,14.13,8.09,7.91,7.96,,,,
Personal Insurance,Personal insurance and pensions Mean,"5,528",210,"4,338",676,"4,859","9,022","10,935",,,,
Personal Insurance,Personal insurance and pensions Share,10.8,0.9,11.9,1.7,9.2,13.7,14.1,,,,
Personal Insurance,Personal insurance and pensions SE,115.61,52.62,130.29,179.7,171.35,184.11,542.83,,,,
Personal Insurance,Personal insurance and pensions CV(%),2.09,25.11,3,26.6,3.53,2.04,4.96,,,,
Life Insurance,Life and other personal insurance Mean,319,174,145,299,300,442,516,,,,
Life Insurance,Life and other personal insurance Share,0.6,0.7,0.4,0.7,0.6,0.7,0.7,,,,
Life Insurance,Life and other personal insurance SE,17.63,52.11,24.12,32.65,18.84,36.4,52.46,,,,
Life Insurance,Life and other personal insurance CV(%),5.53,30,16.6,10.92,6.27,8.24,10.16,,,,
Pensions,Pensions and Social Security Mean,"5,209",36,"4,193",377,"4,559","8,580","10,419",,,,
Pensions,Pensions and Social Security Share,10.2,0.1,11.5,0.9,8.7,13,13.4,,,,
Pensions,Pensions and Social Security SE,110.75,10.32,134.76,170.09,168.67,173.89,511.64,,,,
Pensions,Pensions and Social Security CV(%),2.13,28.82,3.21,45.17,3.7,2.03,4.91,,,,
Sources of Income,Money income before taxes Mean,"$63,784","$18,467","$42,775","$33,241","$60,151","$94,313","$111,100",,,,
Sources of Income,Money income before taxes SE,922.65,455.48,"1,181.15","1,423.83","1,654.96","1,740.11","3,321.42",,,,
Sources of Income,Money income before taxes CV(%),1.45,2.47,2.76,4.28,2.75,1.85,2.99,,,,
Sources of Income,Wages and salaries Mean,"50,168",29,"37,110",26,"45,653","84,660","99,981",,,,
Sources of Income,Wages and salaries Share,78.7,0.2,86.8,0.1,75.9,89.8,90,,,,
Sources of Income,Wages and salaries SE,833.79,31.51,"1,079.05",31.03,"1,393.71","1,528.23","3,386.15",,,,
Sources of Income,Wages and salaries CV(%),1.66,109.37,2.91,118.1,3.05,1.81,3.39,,,,
Sources of Income,Self-employment income Mean,"3,273",10,"2,290",b/,"3,807","5,173","6,021",,,,
Sources of Income,Self-employment income Share,5.1,0.1,5.4,b/,6.3,5.5,5.4,,,,
Sources of Income,Self-employment income SE,262.05,19,381.83,b/,599.58,570.64,783.83,,,,
Sources of Income,Self-employment income CV(%),8.01,181.14,16.68,b/,15.75,11.03,13.02,,,,
Sources of Income,"Social Security, private and government retirement Mean","7,514","15,048","1,947","26,538","7,318","2,637","2,620",,,,
Sources of Income,"Social Security, private and government retirement Share",11.8,81.5,4.6,79.8,12.2,2.8,2.4,,,,
Sources of Income,"Social Security, private and government retirement SE",142.66,402.96,190.99,"1,043.41",330.79,177.51,309.16,,,,
Sources of Income,"Social Security, private and government retirement CV(%)",1.9,2.68,9.81,3.93,4.52,6.73,11.8,,,,
Sources of Income,"Interest, dividends, rental income, other property income Mean","1,411","1,447",724,"3,890","1,379","1,004","1,343",,,,
Sources of Income,"Interest, dividends, rental income, other property income Share",2.2,7.8,1.7,11.7,2.3,1.1,1.2,,,,
Sources of Income,"Interest, dividends, rental income, other property income SE",137.5,192.87,115.7,"1,084.99",176.81,142.46,310.33,,,,
Sources of Income,"Interest, dividends, rental income, other property income CV(%)",9.75,13.33,15.98,27.89,12.82,14.19,23.11,,,,
Sources of Income,"Public assistance, supplemental security income, food stamps Mean",534,784,57,"1,476",805,214,493,,,,
Sources of Income,"Public assistance, supplemental security income, food stamps Share",0.8,4.2,0.1,4.4,1.3,0.2,0.4,,,,
Sources of Income,"Public assistance, supplemental security income, food stamps SE",30.53,65.18,11.23,122.04,68,23.82,95.29,,,,
Sources of Income,"Public assistance, supplemental security income, food stamps CV(%)",5.72,8.31,19.57,8.27,8.45,11.11,19.31,,,,
Sources of Income,"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support Mean",612,576,359,988,973,439,477,,,,
Sources of Income,"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support Share",1,3.1,0.8,3,1.6,0.5,0.4,,,,
Sources of Income,"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support SE",49.43,94.02,81.37,127.75,157.91,52.15,72.8,,,,
Sources of Income,"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support CV(%)",8.08,16.33,22.68,12.94,16.23,11.89,15.27,,,,
Sources of Income,Other income Mean,272,572,288,324,216,186,166,,,,
Sources of Income,Other income Share,0.4,3.1,0.7,1,0.4,0.2,0.1,,,,
Sources of Income,Other income SE,21.52,122.97,43.88,65.69,27.81,30.28,36.03,,,,
Sources of Income,Other income CV(%),7.91,21.48,15.22,20.3,12.89,16.26,21.74,,,,
Taxes,Personal taxes Mean,"7,432",545,"6,334","1,472","5,240","12,948","12,655",,,,
Taxes,Personal taxes Share,11.7,3,14.8,4.4,8.7,13.7,11.4,,,,
Taxes,Personal taxes SE,222.76,75.53,295.05,403.55,421.21,464.54,968.45,,,,
Taxes,Personal taxes CV(%),3,13.86,4.66,27.41,8.04,3.59,7.65,,,,
Taxes,Federal income taxes Mean,"5,743",456,"5,078","1,184","3,773","10,067","9,752",,,,
Taxes,Federal income taxes Share,9,2.5,11.9,3.6,6.3,10.7,8.8,,,,
Taxes,Federal income taxes SE,186.85,51.92,270.32,321.51,337.47,393.31,824.91,,,,
Taxes,Federal income taxes CV(%),3.25,11.39,5.32,27.16,8.94,3.91,8.46,,,,
Taxes,State and local income taxes Mean,"1,629",32,"1,233",232,"1,406","2,803","2,831",,,,
Taxes,State and local income taxes Share,2.6,0.2,2.9,0.7,2.3,3,2.5,,,,
Taxes,State and local income taxes SE,56.6,17.79,56.71,83.52,94,103.31,163.12,,,,
Taxes,State and local income taxes CV(%),3.48,54.95,4.6,35.94,6.69,3.69,5.76,,,,
Taxes,Other taxes Mean,60,57,24,56,61,78,72,,,,
Taxes,Other taxes Share,0.1,0.3,0.1,0.2,0.1,0.1,0.1,,,,
Taxes,Other taxes SE,9.61,16.17,4.9,11.74,20.46,15.09,18.36,,,,
Taxes,Other taxes CV(%),16.05,28.5,20.63,20.91,33.36,19.26,25.59,,,,
Income,Income after taxes Mean,"56,352","17,922","36,440","31,769","54,911","81,365","98,446",,,,
Income,Income after taxes Share,88.3,97,85.2,95.6,91.3,86.3,88.6,,,,
Income,Income after taxes SE,742.16,425.82,922.35,"1,173.25","1,309.06","1,342.28","2,704.38",,,,
Income,Income after taxes CV(%),1.32,2.38,2.53,3.69,2.38,1.65,2.75,,,,
Gifts,"Gifts of goods and services, total Mean","1,078",707,919,813,"1,106","1,271","1,521",,,,
Gifts,"Gifts of goods and services, total SE",61.08,140.35,75.92,111.23,117.15,111.6,276.22,,,,
Gifts,"Gifts of goods and services, total CV(%)",5.67,19.85,8.26,13.68,10.59,8.78,18.16,,,,
Gifts,Food Mean,78,30,65,62,79,91,155,,,,
Gifts,Food SE,5.73,8.75,17.99,15.37,14.03,9.72,37.76,,,,
Gifts,Food CV(%),7.31,29,27.76,24.79,17.68,10.67,24.31,,,,
Gifts,Alcoholic beverages Mean,12,7,14,17,9,13,16,,,,
Gifts,Alcoholic beverages SE,2.19,4.67,5.56,9.83,3.67,2.91,5.12,,,,
Gifts,Alcoholic beverages CV(%),17.97,66.16,39.38,58.46,40.13,22.09,32.22,,,,
Gifts,Housing Mean,201,135,156,164,231,236,236,,,,
Gifts,Housing SE,12.12,31.1,19.22,30.31,35.84,20.56,36.49,,,,
Gifts,Housing CV(%),6.02,23.07,12.34,18.45,15.5,8.71,15.45,,,,
Gifts,Housekeeping supplies Mean,26,11,25,16,27,34,23,,,,
Gifts,Housekeeping supplies SE,2.63,2.08,4,3.75,6.37,5.15,5.58,,,,
Gifts,Housekeeping supplies CV(%),10.33,18.58,16.27,23.17,23.17,15.22,24.5,,,,
Gifts,Household textiles Mean,5,5,6,4,3,5,2,,,,
Gifts,Household textiles SE,0.87,1.99,2.92,2.46,1.79,1.6,0.8,,,,
Gifts,Household textiles CV(%),19.17,36.83,50.02,61.06,53.2,31.89,41.86,,,,
Gifts,Appliances and miscellaneous housewares Mean,19,13,17,13,20,20,38,,,,
Gifts,Appliances and miscellaneous housewares SE,2.69,4.65,3.64,4.95,4.47,4.2,24.25,,,,
Gifts,Appliances and miscellaneous housewares CV(%),14.09,36.03,22.02,37.15,22.08,21.51,63.14,,,,
Gifts,Major appliances Mean,5,6,7,7,5,3,8,,,,
Gifts,Major appliances SE,1.1,3.52,2.77,3.51,1.93,1.1,6.63,,,,
Gifts,Major appliances CV(%),20.42,58.07,39.33,52.6,39.46,31.95,85.22,,,,
Gifts,Small appliances and miscellaneous housewares Mean,14,7,10,7,15,16,31,,,,
Gifts,Small appliances and miscellaneous housewares SE,2.28,2.99,1.81,3.31,4.12,4.04,23.44,,,,
Gifts,Small appliances and miscellaneous housewares CV(%),16.62,43.74,19.06,49.79,26.85,25.03,76.55,,,,
Gifts,Miscellaneous household equipment Mean,41,22,38,20,46,52,37,,,,
Gifts,Miscellaneous household equipment SE,3.8,5.02,10.5,5.99,8.37,8.42,13.02,,,,
Gifts,Miscellaneous household equipment CV(%),9.39,22.62,27.51,29.8,18.22,16.04,34.79,,,,
Gifts,Other housing Mean,112,83,71,111,134,125,136,,,,
Gifts,Other housing SE,11.68,29.09,13.49,28.2,34.7,20.91,25.4,,,,
Gifts,Other housing CV(%),10.46,34.99,19.1,25.49,25.85,16.71,18.72,,,,
Gifts,Apparel and services Mean,198,146,241,153,193,220,178,,,,
Gifts,Apparel and services SE,11.66,46.6,29.99,40.21,27.22,25.08,39.31,,,,
Gifts,Apparel and services CV(%),5.88,31.91,12.43,26.25,14.11,11.38,22.13,,,,
Gifts,"Males, 2 and over Mean",51,31,83,38,47,46,67,,,,
Gifts,"Males, 2 and over SE",5.44,9.06,18.8,6.17,11.67,10.15,25.1,,,,
Gifts,"Males, 2 and over CV(%)",10.65,29.17,22.62,16.33,24.64,21.97,37.74,,,,
Gifts,"Females, 2 and over Mean",76,86,79,61,69,87,48,,,,
Gifts,"Females, 2 and over SE",8.62,41.37,11.96,17.63,19.29,15.17,11.08,,,,
Gifts,"Females, 2 and over CV(%)",11.33,48.31,15.22,28.68,28,17.45,23.05,,,,
Gifts,Children under 2 Mean,30,7,22,28,40,35,30,,,,
Gifts,Children under 2 SE,3.48,2.58,7.71,21.36,7.19,5.98,12.38,,,,
Gifts,Children under 2 CV(%),11.77,36.38,34.95,75.6,17.96,17.12,40.66,,,,
Gifts,Other apparel products and services Mean,42,22,57,26,37,52,33,,,,
Gifts,Other apparel products and services SE,4.39,6.11,10.88,9.28,7.91,12.57,9.19,,,,
Gifts,Other apparel products and services CV(%),10.51,27.47,18.95,36.12,21.56,24.06,28.19,,,,
Gifts,Jewelry and watches Mean,14,9,20,7,10,18,9,,,,
Gifts,Jewelry and watches SE,2.8,2.66,6.39,3.69,3.71,7.68,2.84,,,,
Gifts,Jewelry and watchesCV(%),20.17,30.07,31.29,49.72,38.09,41.55,31.52,,,,
Gifts,All other apparel products and services Mean,28,13,37,18,27,34,24,,,,
Gifts,All other apparel products and services SE,3.2,5.42,8.77,8.52,6.76,8.24,8.7,,,,
Gifts,All other apparel products and services CV(%),11.45,40.51,23.7,46.62,25.08,24.42,36.84,,,,
Gifts,Transportation Mean,100,105,67,131,91,86,194,,,,
Gifts,Transportation SE,14.64,50.17,14.4,53.04,33.26,10.58,102.05,,,,
Gifts,Transportation CV(%),14.7,47.68,21.37,40.62,36.6,12.25,52.7,,,,
Gifts,Healthcare Mean,35,107,24,-6,41,26,14,,,,
Gifts,Healthcare SE,12.78,93.12,7.84,8,15.47,6.91,5.02,,,,
Gifts,Healthcare CV(%),36.59,87.19,32.37,-134.89,38.1,26.75,35.44,,,,
Gifts,Entertainment Mean,89,48,100,45,79,128,57,,,,
Gifts,Entertainment SE,7.65,18.64,18.48,10.14,12.05,17.45,12.51,,,,
Gifts,Entertainment CV(%),8.6,38.45,18.49,22.78,15.26,13.65,21.9,,,,
Gifts,"Toys, games, arts and crafts, and tricycles Mean",27,8,8,14,26,53,16,,,,
Gifts,"Toys, games, arts and crafts, and tricycles SE",4.01,4.3,1.73,5.1,4.98,11.07,6.86,,,,
Gifts,"Toys, games, arts and crafts, and tricycles CV(%)",14.68,57.29,22.11,35.86,19.42,20.87,43.19,,,,
Gifts,Other entertainment Mean,62,41,92,30,53,75,41,,,,
Gifts,Other entertainment SE,6.44,17.44,18.24,7.98,11.64,13.33,9.62,,,,
Gifts,Other entertainment CV(%),10.45,42.55,19.8,26.31,21.85,17.82,23.34,,,,
Gifts,Personal care products and services Mean,14,6,12,5,15,21,10,,,,
Gifts,Personal care products and services SE,2.28,3.74,4.75,2.06,4.3,5.22,5.17,,,,
Gifts,Personal care products and services CV(%),16.29,64.19,39.6,42.34,28.22,24.68,50.68,,,,
Gifts,Reading Mean,5,3,6,5,6,3,4,,,,
Gifts,Reading SE,0.55,1.14,1.59,2.77,1.25,0.49,1.15,,,,
Gifts,Reading CV(%),12.14,38.39,24.82,53.73,19.96,16.73,31.98,,,,
Gifts,Education Mean,274,76,165,143,276,377,582,,,,
Gifts,Education SE,40.98,36.36,41.91,57.33,66.51,78.52,191.22,,,,
Gifts,Education CV(%),14.96,47.7,25.33,40.23,24.06,20.83,32.84,,,,
Gifts,All other gifts Mean,72,43,68,95,85,69,75,,,,
Gifts,All other gifts SE,6.91,8.37,9.54,26.93,20.03,12.5,18.14,,,,
Gifts,All other gifts CV(%),9.61,19.33,14.02,28.24,23.58,18.17,24.28,,,,
